名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
新子元,公司企业,公司,121.131133,31.364708,上海市,上海市,嘉定区,121.12652455841976,31.366528740364526
杜尔,公司企业,其他,121.116383,31.364853,上海市,上海市,嘉定区,121.1117596367617,31.366658746355217
国塑机械,公司企业,公司,121.116335,31.36549,上海市,上海市,嘉定区,121.11171154762683,31.367295505785762
上海亿首机械科技有限责任公司,公司企业,其他,121.116155,31.365463,上海市,上海市,嘉定区,121.11153142423159,31.36726838036899
上海德杜机械设备有限责任公司,公司企业,公司,121.11623,31.364295,上海市,上海市,嘉定区,121.111606577959,31.36610081165515
上海嘉定城发环保污泥处理有限责任公司,公司企业,公司,121.134246,31.362832,上海市,上海市,嘉定区,121.12964191776108,31.364657402789515
上海先予工业自动化设备有限责任公司,公司企业,其他,121.116169,31.365156,上海市,上海市,嘉定区,121.11154546064152,31.366961489311837
上海高懿精密机械设备有限责任公司,公司企业,公司,121.116332,31.365193,上海市,上海市,嘉定区,121.11170857133158,31.36699859887818
砖瓦厂,交通设施,公交站,121.124087,31.375232,上海市,上海市,嘉定区,121.11946943728897,31.377041347209605
泉泾,交通设施,公交站,121.13072,31.366866,上海市,上海市,嘉定区,121.12611083955376,31.368685532144966
外钱公路宝钱公路,交通设施,公交站,121.129188,31.368625,上海市,上海市,嘉定区,121.12457676812988,31.370442101905752
正宗沙县小吃店,餐饮美食,中国菜,121.130491,31.367294,上海市,上海市,嘉定区,121.1258815102454,31.36911311142264
湘西湘饭店,餐饮美食,中国菜,121.130653,31.367092,上海市,上海市,嘉定区,121.1260437342679,31.36891137671587
神泽管业,公司企业,公司,121.129012,31.369603,上海市,上海市,嘉定区,121.12440046824801,31.371419582123316
谢记私厨,餐饮美食,其他,121.130631,31.366725,上海市,上海市,嘉定区,121.12602173801862,31.368544466516266
巴比馒头,餐饮美食,其他,121.13064,31.36722,上海市,上海市,嘉定区,121.12603070655528,31.36903931975138
博博熟食店,餐饮美食,其他,121.130974,31.366757,上海市,上海市,嘉定区,121.12636517525088,31.36857688405348
KT租赁服务,生活服务,其他,121.130971,31.366389,上海市,上海市,嘉定区,121.12636220331692,31.368208997892005
惠民超市,购物消费,便利店,121.130391,31.367442,上海市,上海市,嘉定区,121.1257813704035,31.369260940661878
旺旺百货批发部,购物消费,便利店,121.130911,31.366486,上海市,上海市,嘉定区,121.12630211763637,31.368305891800983
景展汽销货车专卖,汽车相关,汽车销售,121.13012,31.367659,上海市,上海市,嘉定区,121.12551000920344,31.369477538139748
上海怡香好食品有限责任公司,公司企业,公司,121.12808,31.369017,上海市,上海市,嘉定区,121.12346739968909,31.370832670586115
旺旺小卖部,购物消费,便利店,121.13091,31.366376,上海市,上海市,嘉定区,121.12630112589481,31.368195925719945
模具补焊,生活服务,其他,121.130538,31.366716,上海市,上海市,嘉定区,121.12592862021654,31.368535354027745
兰艺标识,生活服务,其他,121.128788,31.368838,上海市,上海市,嘉定区,121.12417626267874,31.370654558022757
