名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
鹤立西路林海公路,交通设施,公交站,121.568419,31.053035,上海市,上海市,浦东新区,121.56420431103508,31.05532741828285,Transport
公厕,生活服务,公厕,121.556981,31.055983,上海市,上海市,浦东新区,121.55274354840913,31.058255967200783,Toilet
S32航头服务区公厕,生活服务,公厕,121.550655,31.063548,上海市,上海市,浦东新区,121.54640192483328,31.065804531709205,Toilet
S32航头服务区第一公厕,生活服务,公厕,121.550858,31.063754,上海市,上海市,浦东新区,121.54660541544706,31.06601082355853,Toilet
牌楼村中心卫生院,医疗保健,诊所,121.559169,31.052806,上海市,上海市,浦东新区,121.5549365893748,31.05508461970132,Medical_Service
航头服务区公厕,生活服务,公厕,121.551096,31.06231,上海市,上海市,浦东新区,121.54684412800523,31.064568135424043,Toilet
赵家宅,交通设施,公交站,121.566398,31.080605,上海市,上海市,闵行区,121.56217751022844,31.08287883288633,Transport
召楼酒厂,交通设施,公交站,121.556355,31.077683,上海市,上海市,闵行区,121.55211434793644,31.079942365956036,Transport
革新村,交通设施,公交站,121.569358,31.080388,上海市,上海市,闵行区,121.5651426278302,31.0826659023854,Transport
沈杜公路赵家宅,交通设施,公交站,121.566432,31.080646,上海市,上海市,闵行区,121.56221156784548,31.08291985701777,Transport
沈庄路沈庄16组,交通设施,公交站,121.56921,31.073019,上海市,上海市,浦东新区,121.56499499055543,31.075300920939007,Transport
沈庄路林海公路,交通设施,公交站,121.565194,31.070653,上海市,上海市,浦东新区,121.5609721352996,31.072930806161157,Transport
沈杜公路召楼酒厂,交通设施,公交站,121.556354,31.077665,上海市,上海市,闵行区,121.55211334716353,31.07992437441436,Transport
公厕,生活服务,公厕,121.559182,31.073784,上海市,上海市,浦东新区,121.554947884523,31.076050551472605,Toilet
召稼楼-公厕,生活服务,公厕,121.550594,31.072108,上海市,上海市,闵行区,121.5463400631432,31.074359489624605,Toilet
公厕,生活服务,公厕,121.562582,31.078297,上海市,上海市,闵行区,121.5583545023101,31.080566508730268,Toilet
公厕,生活服务,公厕,121.558342,31.078086,上海市,上海市,闵行区,121.55410572010508,31.080348654211168,Toilet
召稼楼-公厕,生活服务,公厕,121.550876,31.075411,上海市,上海市,闵行区,121.54662249514706,31.07766117041385,Toilet
沈梅路康梧路,交通设施,公交站,121.562693,31.089543,上海市,上海市,浦东新区,121.55846479274972,31.09180629775868,Transport
沈梅路林海公路,交通设施,公交站,121.557255,31.088046,上海市,上海市,浦东新区,121.55301550831362,31.090301091457132,Transport
公厕,生活服务,公厕,121.557209,31.103721,上海市,上海市,闵行区,121.55296810923878,31.10596720262955,Toilet
公厕,生活服务,公厕,121.558624,31.099981,上海市,上海市,闵行区,121.55438652066876,31.102231766096647,Toilet
公厕,生活服务,公厕,121.552331,31.102204,上海市,上海市,闵行区,121.5480788638928,31.104441922849997,Toilet
公厕,生活服务,公厕,121.559426,31.100511,上海市,上海市,闵行区,121.55519019474043,31.10276283572832,Toilet
公厕,生活服务,公厕,121.558694,31.101257,上海市,上海市,闵行区,121.55445656623202,31.10350717247608,Toilet
公厕,生活服务,公厕,121.559377,31.103436,上海市,上海市,闵行区,121.55514084871312,31.10568611856716,Toilet
公厕,生活服务,公厕,121.553515,31.100804,上海市,上海市,闵行区,121.549265834437,31.103045004584544,Toilet
公厕,生活服务,公厕,121.560919,31.101111,上海市,上海市,闵行区,121.55668626471768,31.10336497404838,Toilet
陈行路西瞿,交通设施,公交站,121.526477,31.120605,上海市,上海市,浦东新区,121.52214808132302,31.12277104133242,Transport
陈行路周谊路,交通设施,公交站,121.527597,31.118392,上海市,上海市,浦东新区,121.52327195301164,31.120562310557297,Transport
三鲁公路苏近路,交通设施,公交站,121.512798,31.106865,上海市,上海市,闵行区,121.50842319073269,31.108999488664008,Transport
三鲁公路苏近路,交通设施,公交站,121.512244,31.108492,上海市,上海市,闵行区,121.50786708825515,31.11062394345668,Transport
公厕,生活服务,公厕,121.515237,31.121403,上海市,上海市,浦东新区,121.51086957892252,31.123536646586388,Toilet
公厕,生活服务,公厕,121.514495,31.119007,上海市,上海市,浦东新区,121.51012516854384,31.12113978294345,Toilet
公厕,生活服务,公厕,121.527345,31.123453,上海市,上海市,浦东新区,121.52301870281794,31.125619851161662,Toilet
公厕,生活服务,公厕,121.523856,31.118233,上海市,上海市,浦东新区,121.51951853886106,31.120393093604704,Toilet
公厕,生活服务,公厕,121.526499,31.120883,上海市,上海市,浦东新区,121.52217013076394,31.12304894914765,Toilet
