名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
中医医院,医疗保健,综合医院,121.484815,31.239152,上海市,上海市,黄浦区,121.4803287936676,31.241134936730017,Medical_Service
上海交通大学医学院附属第九人民医院黄浦分院中医门诊部,医疗保健,综合医院,121.484588,31.239246,上海市,上海市,黄浦区,121.4801009940656,31.241228228653785,Medical_Service
南JD路地铁站6号口,交通设施,地铁,121.484554,31.239129,上海市,上海市,黄浦区,121.48006688558722,31.241111182572823,Transport
北京东路河南中路,交通设施,公交站,121.482558,31.240224,上海市,上海市,黄浦区,121.4780638690936,31.24219986460789,Transport
公厕,生活服务,公厕,121.482422,31.239962,上海市,上海市,黄浦区,121.47792742232036,31.24193758975353,Toilet
北京东路山东北路,交通设施,公交站,121.481932,31.240029,上海市,上海市,黄浦区,121.47743572878962,31.242003140439035,Transport
天潼路地铁站4号口,交通设施,地铁,121.48201,31.243543,上海市,上海市,静安区,121.47751369613998,31.245515768361532,Transport
无障碍洗手间,生活服务,公厕,121.482518,31.243761,上海市,上海市,虹口区,121.47802342811865,31.24573514113233,Toilet
天潼路地铁站3号口,交通设施,地铁,121.482958,31.243779,上海市,上海市,虹口区,121.47846494659356,31.24575441052743,Transport
天潼路,交通设施,地铁,121.482461,31.243851,上海市,上海市,虹口区,121.4779662237478,31.24582493508791,Transport
河南北路天潼路,交通设施,公交站,121.482162,31.244349,上海市,上海市,静安区,121.47766615042262,31.246321843448587,Transport
河南北路海宁路,交通设施,公交站,121.482257,31.244715,上海市,上海市,虹口区,121.47776144636514,31.2466879531026,Transport
女洗手间,生活服务,公厕,121.481415,31.244631,上海市,上海市,静安区,121.47691655841636,31.24660155743174,Toilet
女洗手间,生活服务,公厕,121.48187,31.243931,上海市,上海市,静安区,121.47737318125468,31.24590318780692,Toilet
女洗手间,生活服务,公厕,121.481478,31.244618,上海市,上海市,静安区,121.47697977569744,31.246588745026173,Toilet
女洗手间,生活服务,公厕,121.481875,31.243908,上海市,上海市,静安区,121.47737820042067,31.24588021267199,Toilet
男洗手间,生活服务,公厕,121.481904,31.243902,上海市,上海市,静安区,121.47740730067724,31.245874299230533,Toilet
男洗手间,生活服务,公厕,121.481908,31.243916,上海市,上海市,静安区,121.47741131323656,31.24588830445892,Toilet
男洗手间,生活服务,公厕,121.481451,31.244671,上海市,上海市,静安区,121.47695267850357,31.246641643185907,Toilet
公厕,生活服务,公厕,121.481582,31.245862,上海市,上海市,静安区,121.4770840261067,31.24783248361976,Toilet
天潼路地铁站1号口,交通设施,地铁,121.482279,31.245016,上海市,上海市,虹口区,121.47778349639808,31.2469888808567,Transport
女洗手间,生活服务,公厕,121.484039,31.248186,上海市,上海市,虹口区,121.4795493178043,31.250162574545943,Toilet
男洗手间,生活服务,公厕,121.483953,31.248121,上海市,上海市,虹口区,121.47946302442836,31.250097352513432,Toilet
四川北路武昌路,交通设施,公交站,121.485276,31.247454,上海市,上海市,虹口区,121.48079069338496,31.2494345267871,Transport
海宁路四川北路,交通设施,公交站,121.483778,31.248884,上海市,上海市,虹口区,121.47928735116248,31.25085949965073,Transport
男洗手间,生活服务,公厕,121.484654,31.248796,上海市,上海市,虹口区,121.48016640685069,31.250774100229712,Toilet
女洗手间,生活服务,公厕,121.477715,31.245704,上海市,上海市,静安区,121.47320390891278,31.247663513938413,Toilet
女洗手间,生活服务,公厕,121.479028,31.24487,上海市,上海市,静安区,121.47452140443882,31.24683361089679,Toilet
海宁路山西北路,交通设施,公交站,121.479231,31.246893,上海市,上海市,静安区,121.47472491815924,31.24885627691232,Transport
海宁路浙江北路,交通设施,公交站,121.479389,31.247202,上海市,上海市,静安区,121.47488342715693,31.249165588261928,Transport
公厕,生活服务,公厕,121.481309,31.256881,上海市,上海市,虹口区,121.4768091448233,31.25884578750769,Toilet
女洗手间,生活服务,公厕,121.482371,31.257453,上海市,上海市,虹口区,121.47787474791669,31.259420605455176,Toilet
女洗手间,生活服务,公厕,121.482449,31.257416,上海市,上海市,虹口区,121.47795302013112,31.25938384782369,Toilet
女洗手间,生活服务,公厕,121.48233,31.257557,上海市,上海市,虹口区,121.47783359762668,31.259524440933195,Toilet
男洗手间,生活服务,公厕,121.482347,31.257536,上海市,上海市,虹口区,121.4778506580425,31.259503499423275,Toilet
男洗手间,生活服务,公厕,121.482355,31.257515,上海市,上海市,虹口区,121.47785868742808,31.259482531835623,Toilet
男洗手间,生活服务,公厕,121.482311,31.257539,上海市,上海市,虹口区,121.4778145336634,31.25950639379138,Toilet
女洗手间,生活服务,公厕,121.482419,31.257512,上海市,上海市,虹口区,121.47792290841276,31.259479718654383,Toilet
男洗手间,生活服务,公厕,121.482334,31.257604,上海市,上海市,虹口区,121.47783760739011,31.25957143187092,Toilet
女洗手间,生活服务,公厕,121.482442,31.257507,上海市,上海市,虹口区,121.47794598818308,31.25947478753056,Toilet
男洗手间,生活服务,公厕,121.482383,31.25754,上海市,上海市,虹口区,121.47788678184484,31.259507601997807,Toilet
男洗手间,生活服务,公厕,121.482411,31.257583,上海市,上海市,虹口区,121.47791487473302,31.259550664262303,Toilet
婴儿换洗间,生活服务,公厕,121.482326,31.257527,上海市,上海市,虹口区,121.47782958640651,31.259494442526663,Toilet
婴儿换洗间,生活服务,公厕,121.482387,31.257501,上海市,上海市,虹口区,121.47789079898256,31.259468630731234,Toilet
四川北路东宝兴路,交通设施,公交站,121.483095,31.257051,上海市,上海市,虹口区,121.47860128375429,31.25902088430269,Transport
女洗手间,生活服务,公厕,121.482562,31.257077,上海市,上海市,虹口区,121.47806643914168,31.25904532461744,Toilet
男洗手间,生活服务,公厕,121.482634,31.257136,上海市,上海市,虹口区,121.47813868267292,31.25910450757161,Toilet
男洗手间,生活服务,公厕,121.482608,31.257216,上海市,上海市,虹口区,121.47811258603932,31.25918439693851,Toilet
上海ist艾尚天地-洗手间,生活服务,公厕,121.481708,31.257972,上海市,上海市,虹口区,121.47720942098624,31.25993745918884,Toilet
男洗手间,生活服务,公厕,121.482404,31.258831,上海市,上海市,虹口区,121.47790774363028,31.26079809634251,Toilet
女洗手间,生活服务,公厕,121.48208,31.258233,上海市,上海市,虹口区,121.47758267828296,31.26019942014858,Toilet
女洗手间,生活服务,公厕,121.482102,31.258235,上海市,上海市,虹口区,121.47760475387008,31.26020148294123,Toilet
男洗手间,生活服务,公厕,121.48217,31.258209,上海市,上海市,虹口区,121.47767299031676,31.26017569119377,Toilet
男洗手间,生活服务,公厕,121.482111,31.258258,上海市,上海市,虹口区,121.47761378289331,31.260224498898584,Toilet
男洗手间,生活服务,公厕,121.482074,31.258178,上海市,上海市,虹口区,121.4775766623374,31.26014442691956,Toilet
男洗手间,生活服务,公厕,121.482148,31.258209,上海市,上海市,虹口区,121.47765091453115,31.26017562750149,Toilet
