POPID,pop_loc,population,Elderly_pe,accessibility_score,Lon,Lat,geometry_type,x,y,geometry_coordinates
93,"121.542507,31.303144",638.39288,0.16627,0.3155340357661411,121.542507,31.303144,Point,121.542507,31.303144,"[121.542507, 31.303144]"
94,"121.543405,31.303144",568.5863,0.16627,0.08619648739293187,121.543405,31.303144,Point,121.543405,31.303144,"[121.543405, 31.303144]"
95,"121.544304,31.303144",520.74402,0.16627,0.14835881201701823,121.544304,31.303144,Point,121.544304,31.303144,"[121.544304, 31.303144]"
96,"121.519151,31.302245",217.14174,0.16627,4.000108377636961,121.519151,31.302245,Point,121.519151,31.302245,"[121.519151, 31.302245]"
97,"121.520049,31.302245",236.35672,0.16627,4.409363007711375,121.520049,31.302245,Point,121.520049,31.302245,"[121.520049, 31.302245]"
98,"121.520948,31.302245",152.25339,0.16627,4.013327152071967,121.520948,31.302245,Point,121.520948,31.302245,"[121.520948, 31.302245]"
99,"121.521846,31.302245",119.42724,0.16627,2.8342378377966986,121.521846,31.302245,Point,121.521846,31.302245,"[121.521846, 31.302245]"
100,"121.522744,31.302245",67.459862,0.16627,6.784423707836205,121.522744,31.302245,Point,121.522744,31.302245,"[121.522744, 31.302245]"
101,"121.523642,31.302245",60.198402,0.16627,5.417511186980391,121.523642,31.302245,Point,121.523642,31.302245,"[121.523642, 31.302245]"
102,"121.524541,31.302245",49.080727,0.16627,10.246927058566339,121.524541,31.302245,Point,121.524541,31.302245,"[121.524541, 31.302245]"
103,"121.525439,31.302245",42.781944,0.16627,9.076147355365208,121.525439,31.302245,Point,121.525439,31.302245,"[121.525439, 31.302245]"
104,"121.526337,31.302245",91.824806,0.16627,7.836269219065471,121.526337,31.302245,Point,121.526337,31.302245,"[121.526337, 31.302245]"
105,"121.527236,31.302245",147.89671,0.16627,6.857121703737245,121.527236,31.302245,Point,121.527236,31.302245,"[121.527236, 31.302245]"
106,"121.528134,31.302245",201.01073,0.16627,5.792920909717364,121.528134,31.302245,Point,121.528134,31.302245,"[121.528134, 31.302245]"
107,"121.529032,31.302245",161.92329,0.16627,5.118554019656163,121.529032,31.302245,Point,121.529032,31.302245,"[121.529032, 31.302245]"
108,"121.529931,31.302245",250.45937,0.16627,3.843756765552511,121.529931,31.302245,Point,121.529931,31.302245,"[121.529931, 31.302245]"
109,"121.530829,31.302245",291.96866,0.16627,2.6618369473800874,121.530829,31.302245,Point,121.530829,31.302245,"[121.530829, 31.302245]"
110,"121.531727,31.302245",282.2869,0.16627,1.371950065896408,121.531727,31.302245,Point,121.531727,31.302245,"[121.531727, 31.302245]"
111,"121.532626,31.302245",284.56262,0.16627,0.9799003032601513,121.532626,31.302245,Point,121.532626,31.302245,"[121.532626, 31.302245]"
112,"121.533524,31.302245",215.93182,0.16627,0.5518611298339122,121.533524,31.302245,Point,121.533524,31.302245,"[121.533524, 31.302245]"
113,"121.534422,31.302245",152.70502,0.16627,0.3655498755764803,121.534422,31.302245,Point,121.534422,31.302245,"[121.534422, 31.302245]"
114,"121.535321,31.302245",159.69832,0.16627,0.16618189416559456,121.535321,31.302245,Point,121.535321,31.302245,"[121.535321, 31.302245]"
115,"121.536219,31.302245",181.76016,0.16627,0.10624457890893542,121.536219,31.302245,Point,121.536219,31.302245,"[121.536219, 31.302245]"
116,"121.537117,31.302245",216.02345,0.16627,0.14036173837067253,121.537117,31.302245,Point,121.537117,31.302245,"[121.537117, 31.302245]"
117,"121.538016,31.302245",510.71561,0.16627,0.18183252821369897,121.538016,31.302245,Point,121.538016,31.302245,"[121.538016, 31.302245]"
118,"121.538914,31.302245",387.17377,0.16627,0.28561535805612265,121.538914,31.302245,Point,121.538914,31.302245,"[121.538914, 31.302245]"
119,"121.539812,31.302245",471.90201,0.16627,0.1943103202647074,121.539812,31.302245,Point,121.539812,31.302245,"[121.539812, 31.302245]"
120,"121.54071,31.302245",472.79825,0.16627,0.32853883113362087,121.54071,31.302245,Point,121.54071,31.302245,"[121.54071, 31.302245]"
121,"121.541609,31.302245",676.73798,0.16627,0.3638468258841048,121.541609,31.302245,Point,121.541609,31.302245,"[121.541609, 31.302245]"
122,"121.542507,31.302245",586.19574,0.16627,0.24680425806653197,121.542507,31.302245,Point,121.542507,31.302245,"[121.542507, 31.302245]"
123,"121.543405,31.302245",528.68286,0.16627,0.06884127052235643,121.543405,31.302245,Point,121.543405,31.302245,"[121.543405, 31.302245]"
124,"121.544304,31.302245",503.89804,0.16627,0.09662808436075888,121.544304,31.302245,Point,121.544304,31.302245,"[121.544304, 31.302245]"
125,"121.515558,31.301347",351.84152,0.16627,0.8691345809261704,121.515558,31.301347,Point,121.515558,31.301347,"[121.515558, 31.301347]"
126,"121.516456,31.301347",241.15312,0.16627,1.2364991314529012,121.516456,31.301347,Point,121.516456,31.301347,"[121.516456, 31.301347]"
127,"121.517354,31.301347",181.99063,0.16627,1.6172196065164481,121.517354,31.301347,Point,121.517354,31.301347,"[121.517354, 31.301347]"
128,"121.518253,31.301347",214.68109,0.16627,3.2715750606067893,121.518253,31.301347,Point,121.518253,31.301347,"[121.518253, 31.301347]"
129,"121.519151,31.301347",225.39034,0.16627,4.755638138388339,121.519151,31.301347,Point,121.519151,31.301347,"[121.519151, 31.301347]"
130,"121.520049,31.301347",208.60893,0.16627,6.080804567216362,121.520049,31.301347,Point,121.520049,31.301347,"[121.520049, 31.301347]"
131,"121.520948,31.301347",93.251175,0.16627,9.035111204759204,121.520948,31.301347,Point,121.520948,31.301347,"[121.520948, 31.301347]"
132,"121.521846,31.301347",68.037102,0.16627,8.447450244366964,121.521846,31.301347,Point,121.521846,31.301347,"[121.521846, 31.301347]"
133,"121.522744,31.301347",63.187897,0.16627,7.376727682614662,121.522744,31.301347,Point,121.522744,31.301347,"[121.522744, 31.301347]"
134,"121.523642,31.301347",45.225494,0.16627,9.510565665347743,121.523642,31.301347,Point,121.523642,31.301347,"[121.523642, 31.301347]"
135,"121.524541,31.301347",43.872379,0.16627,11.790910940033946,121.524541,31.301347,Point,121.524541,31.301347,"[121.524541, 31.301347]"
136,"121.525439,31.301347",49.293259,0.16627,6.802561374639261,121.525439,31.301347,Point,121.525439,31.301347,"[121.525439, 31.301347]"
137,"121.526337,31.301347",98.889977,0.16627,10.204500390099241,121.526337,31.301347,Point,121.526337,31.301347,"[121.526337, 31.301347]"
138,"121.527236,31.301347",168.04942,0.16627,9.448128978972855,121.527236,31.301347,Point,121.527236,31.301347,"[121.527236, 31.301347]"
139,"121.528134,31.301347",189.97919,0.16627,6.409311879332995,121.528134,31.301347,Point,121.528134,31.301347,"[121.528134, 31.301347]"
140,"121.529032,31.301347",256.90533,0.16627,4.800096396222896,121.529032,31.301347,Point,121.529032,31.301347,"[121.529032, 31.301347]"
141,"121.529931,31.301347",280.87579,0.16627,3.641804698490127,121.529931,31.301347,Point,121.529931,31.301347,"[121.529931, 31.301347]"
142,"121.530829,31.301347",272.20963,0.16627,2.6817096543969354,121.530829,31.301347,Point,121.530829,31.301347,"[121.530829, 31.301347]"
143,"121.531727,31.301347",199.28831,0.16627,2.0855601987548122,121.531727,31.301347,Point,121.531727,31.301347,"[121.531727, 31.301347]"
144,"121.532626,31.301347",182.69485,0.16627,0.829716417306346,121.532626,31.301347,Point,121.532626,31.301347,"[121.532626, 31.301347]"
