名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
老港固体废物医疗废物,公司企业,其他,121.889253,31.029635,上海市,上海市,浦东新区,121.8851535537397,31.031952439495818
上海老港环保生态基地,公司企业,农林牧渔,121.888841,31.029675,上海市,上海市,浦东新区,121.8847411331168,31.031992194676334
上海荣苑渔业农业合作社,公司企业,农林牧渔,121.889776,31.004638,上海市,上海市,浦东新区,121.88567910753996,31.0069704763859
上海辰澜建筑工程有限责任公司,公司企业,公司,121.886522,31.007224,上海市,上海市,浦东新区,121.88242146694236,31.009553077776705
上海世滨实业发展有限责任公司,公司企业,公司,121.886756,31.007481,上海市,上海市,浦东新区,121.8826557088678,31.00981007361979
上海信楠土方工程有限责任公司,公司企业,公司,121.886743,31.008369,上海市,上海市,浦东新区,121.88264262202235,31.01069753913356
上海沃禾有机肥产业基地,公司企业,公司,121.91293,31.015262,上海市,上海市,浦东新区,121.90884167739597,31.017588440303413
上海农沧水产养殖有限责任公司,公司企业,农林牧渔,121.917553,31.006998,上海市,上海市,浦东新区,121.91346393291198,31.009326518732873
上海老港再生能源利用中心,公司企业,公司,121.906954,31.045543,上海市,上海市,浦东新区,121.90286338981343,31.047853855205265
生猪检疫检查申报点,医疗保健,动物医疗,121.899387,31.005825,上海市,上海市,浦东新区,121.89529720110971,31.008159723406433
上海乐农超市,购物消费,便利店,121.888257,31.006711,上海市,上海市,浦东新区,121.88415839828083,31.00904142906713
正大桑田,公司企业,公司,121.917006,31.005932,上海市,上海市,浦东新区,121.9129172455781,31.008261534507696
临农农机合作社种植示范基地,公司企业,农林牧渔,121.920398,30.975471,上海市,上海市,浦东新区,121.9163100690106,30.977816070174907
上海瀚灏园艺有限责任公司,公司企业,农林牧渔,121.887482,30.980786,上海市,上海市,浦东新区,121.88338468096082,30.983131399078722
华锦南汇东滩海塘维护管理项目,公司企业,公司,121.917609,31.004903,上海市,上海市,浦东新区,121.91352007929741,31.007232721203444
DESANO,公司企业,公司,121.889212,31.005792,上海市,上海市,浦东新区,121.88511445413363,31.008123499072827
临港东滩生态农业种植示范基地,公司企业,农林牧渔,121.917001,30.988657,上海市,上海市,浦东新区,121.91291365217843,30.990996807581578
普天公共充电站,汽车相关,充电站,121.905155,30.988256,上海市,上海市,浦东新区,121.90106873978964,30.990601023632962
安悦汽车公共充电站,汽车相关,充电站,121.887936,30.979247,上海市,上海市,浦东新区,121.88383929384662,30.981593585450028
上海祥欣国家生猪核心育种场,公司企业,农林牧渔,121.893401,31.020909,上海市,上海市,浦东新区,121.88930602112804,31.023233419082096
长江航道局南汇东滩工程项目部,公司企业,公司,121.887285,31.010801,上海市,上海市,浦东新区,121.88318502359428,31.013128433700377
国家现代农业示范区,公司企业,农林牧渔,121.917051,31.005828,上海市,上海市,浦东新区,121.91296223603878,31.008157565141214
上海老港再生能源利用中心二期工程项目管理部,公司企业,其他,121.906884,31.045508,上海市,上海市,浦东新区,121.9027933837314,31.047818891859215
金秀兰烟糖商行,购物消费,便利店,121.889625,31.005312,上海市,上海市,浦东新区,121.88552790434846,31.00764399942659
上海祥欣畜禽有限责任公司东滩国家生猪核心育种场,公司企业,农林牧渔,121.897058,31.018776,上海市,上海市,浦东新区,121.89296581969533,31.02110270406749
上海滨海高尔夫俱乐部专用停车场,交通设施,停车场,121.905088,30.988598,上海市,上海市,浦东新区,121.9010016972373,30.990942830051928
固体废物处置有限责任公司,公司企业,公司,121.904876,31.055223,上海市,上海市,浦东新区,121.90078422852429,31.057528615885275
二号桥,交通设施,公交站,121.776039,31.339435,上海市,上海市,崇明区,121.77167632515037,31.34143120938926
江南大道兴略路,交通设施,公交站,121.780442,31.332681,上海市,上海市,崇明区,121.77608660343516,31.33468405302508
江南大道江堤路,交通设施,公交站,121.788415,31.327746,上海市,上海市,崇明区,121.78407395208693,31.329760405765715
江南大道仁建路,交通设施,公交站,121.766087,31.345772,上海市,上海市,崇明区,121.76171146610807,31.347758382336185
潘圆公路合作路,交通设施,公交站,121.776096,31.3468,上海市,上海市,崇明区,121.77173278270118,31.348793702223098
江南大道潘圆公路,交通设施,公交站,121.775944,31.335943,上海市,上海市,崇明区,121.7715814847032,31.337940356459793
潘圆公路圆东二路,交通设施,公交站,121.777622,31.343861,上海市,上海市,崇明区,121.77326127601037,31.345857187182123
丁丰村十队,交通设施,公交站,121.772255,31.341848,上海市,上海市,崇明区,121.76788695939746,31.343840060342515
源源酒店,酒店住宿,旅馆,121.777233,31.340276,上海市,上海市,崇明区,121.77287199935263,31.342273055784375
长江第一滩,旅游景点,其他,121.790955,31.346378,上海市,上海市,崇明区,121.78661726234724,31.348389225460284
公厕,生活服务,公厕,121.788929,31.346661,上海市,上海市,崇明区,121.78458732458616,31.348669380413135
专用停车场,交通设施,停车场,121.778592,31.334146,上海市,上海市,崇明区,121.77423357220866,31.336146585259996
涛浪客房部,酒店住宿,旅馆,121.775526,31.338732,上海市,上海市,崇明区,121.77116265184151,31.34072798094181
高庄酒店,酒店住宿,其他,121.776389,31.339616,上海市,上海市,崇明区,121.77202681573928,31.341612475576508
长兴酒店公寓,酒店住宿,其他,121.77797,31.340452,上海市,上海市,崇明区,121.77361008927235,31.3424497222619
万信慧选酒店,酒店住宿,其他,121.774847,31.337179,上海市,上海市,崇明区,121.77048282934052,31.33917491343919
中国联通营业厅,生活服务,电讯营业厅,121.777849,31.343029,上海市,上海市,崇明区,121.7734886880139,31.345025701425833
西北牛肉面,餐饮美食,中国菜,121.777663,31.340718,上海市,上海市,崇明区,121.7733026039732,31.342715323504436
中国移动营业厅,生活服务,电讯营业厅,121.777948,31.3432,上海市,上海市,崇明区,121.77358782305846,31.34519674075172
198聚会度假村,休闲娱乐,其他,121.779139,31.341908,上海市,上海市,崇明区,121.77478076072903,31.343906403976067
大茂网络,休闲娱乐,网吧,121.778118,31.3413,上海市,上海市,崇明区,121.77375824176661,31.34329757360747
儿童游乐场,休闲娱乐,游乐场,121.790308,31.346604,上海市,上海市,崇明区,121.78596897935579,31.348614258363074
中国移动营业厅,生活服务,电讯营业厅,121.776346,31.339617,上海市,上海市,崇明区,121.77198375324001,31.341613434479672
赣湘菜馆,餐饮美食,中国菜,121.778112,31.341213,上海市,上海市,崇明区,121.77375224002837,31.343210598013535
众和农家乐,餐饮美食,中国菜,121.778272,31.341342,上海市,上海市,崇明区,121.77391247255953,31.34333971405619
格林豪泰,酒店住宿,其他,121.777791,31.340717,上海市,上海市,崇明区,121.7734307965597,31.342714450855947
徐州菜馆,餐饮美食,中国菜,121.778228,31.34208,上海市,上海市,崇明区,121.77386834295675,31.344077411867595
黄焖鸡米饭,餐饮美食,中国菜,121.777943,31.341493,上海市,上海市,崇明区,121.77358296019287,31.343490330761707
沙县小吃店,餐饮美食,中国菜,121.777844,31.341119,上海市,上海市,崇明区,121.77348384237595,31.34311636281167
羊肉板面店,餐饮美食,中国菜,121.778038,31.34281,上海市,上海市,崇明区,121.77367799238753,31.344806966472724
老五烧烤,餐饮美食,其他,121.778318,31.341285,上海市,上海市,崇明区,121.77395854756698,31.34328278048141
村夫烤鱼重庆烧鸡公煲,餐饮美食,中国菜,121.777898,31.341483,上海市,上海市,崇明区,121.77353789303105,31.343480289325292
宝隆居家酒店,酒店住宿,四星级酒店,121.778916,31.341903,上海市,上海市,崇明区,121.7745574147752,31.343901175094338
地锅传奇,餐饮美食,其他,121.778013,31.341031,上海市,上海市,崇明区,121.77365310529879,31.343028562403333
元沙酒店,酒店住宿,旅馆,121.779021,31.342594,上海市,上海市,崇明区,121.77466251907279,31.344592042547205
紫莲堂足道养生保健会所,生活服务,洗浴推拿,121.777907,31.341119,上海市,上海市,崇明区,121.77354693748067,31.34311642562438
畅乐足疗,生活服务,洗浴推拿,121.778275,31.341468,上海市,上海市,崇明区,121.77391546645424,31.343465673029442
金三峡时尚干锅,餐饮美食,中国菜,121.777002,31.340526,上海市,上海市,崇明区,121.77264063615841,31.342522743486626
山东单县羊汤,餐饮美食,中国菜,121.778288,31.341878,上海市,上海市,崇明区,121.77392845152889,31.343875542930018
汉唐圣贤足道养生保健会所,生活服务,洗浴推拿,121.777939,31.340504,上海市,上海市,崇明区,121.77357903797413,31.34250167303689
珺悦足道,生活服务,洗浴推拿,121.777699,31.343253,上海市,上海市,崇明区,121.7733384431623,31.345249474493528
千里香馄饨店,餐饮美食,中国菜,121.777813,31.341439,上海市,上海市,崇明区,121.77345276850926,31.343436220015256
鱼小妹纸包鱼,餐饮美食,中国菜,121.777744,31.340911,上海市,上海市,崇明区,121.77338370935841,31.34290833619566
老夏烧烤,餐饮美食,中国菜,121.777205,31.340254,上海市,上海市,崇明区,121.77284395965353,31.342251036188795
喜旺酒楼,餐饮美食,中国菜,121.77779,31.340821,上海市,上海市,崇明区,121.77342978623794,31.342818413421387
长兴镇社区党校,科教文化,其他,121.777965,31.341064,上海市,上海市,崇明区,121.77360502983318,31.343061502816855
毫州农家乐,餐饮美食,中国菜,121.778015,31.34275,上海市,上海市,崇明区,121.77365496261973,31.34474696431245
纸包烤鱼啤酒鸭火锅,餐饮美食,中国菜,121.775588,31.338653,上海市,上海市,崇明区,121.77122474657067,31.340649065888922
谭氏冷冻品,购物消费,市场,121.777499,31.340488,上海市,上海市,崇明区,121.7731383777432,31.342485242197803
小笼汤包馆,餐饮美食,中国菜,121.777867,31.341488,上海市,上海市,崇明区,121.77350684580122,31.343485256662596
淮南黄牛肉粉丝汤,餐饮美食,小吃快餐,121.777643,31.341303,上海市,上海市,崇明区,121.77328252436301,31.343300098894936
好又多生活广场,购物消费,超市,121.775866,31.338739,上海市,上海市,崇明区,121.77150313584865,31.340735293057996
圆沙集贸市场,购物消费,其他,121.777491,31.340048,上海市,上海市,崇明区,121.77313040308015,31.342045388744886
长兴岛中通快递圆沙分部,生活服务,物流,121.778335,31.341462,上海市,上海市,崇明区,121.77397555851996,31.343459735784002
渔港老码头户外游乐园-烧烤区,餐饮美食,其他,121.789955,31.346875,上海市,上海市,崇明区,121.78561527237171,31.34888468470038
瓦香鸡米饭,餐饮美食,中国菜,121.777449,31.340992,上海市,上海市,崇明区,121.77308826030844,31.342989016388668
老北京炸酱面,餐饮美食,中国菜,121.777577,31.341059,上海市,上海市,崇明区,121.77321644608256,31.34305611904035
淮南牛肉粉丝汤,餐饮美食,小吃快餐,121.778132,31.34144,上海市,上海市,崇明区,121.7737722511677,31.34343753872187
